threshold,precision,recall,f1,TP,FP,FN,TN
0.1,0.12994350282485875,1.0,0.23,1610,10780,0,0
0.15,0.12994350282485875,1.0,0.23,1610,10780,0,0
0.2,0.1309979633401222,0.9987577639751553,0.23161685271876126,1608,10667,2,113
0.25,0.13419474706528164,0.9869565217391304,0.2362649617128838,1589,10252,21,528
0.3,0.13929989173583543,0.9590062111801242,0.24326453442571294,1544,9540,66,1240
0.35,0.1487927565392354,0.9186335403726708,0.2561038961038961,1479,8461,131,2319
0.4,0.162481892805408,0.8360248447204969,0.27208409136850614,1346,6938,264,3842
0.45,0.18170406402008474,0.7192546583850932,0.2901164975573093,1158,5215,452,5565
0.5,0.20431716178670656,0.5937888198757764,0.30402289712195896,956,3723,654,7057
0.55,0.23200241984271022,0.4763975155279503,0.31204231082180633,767,2539,843,8241
0.6,0.24831004957187922,0.3422360248447205,0.2878036040741708,551,1668,1059,9112
0.65,0.27419354838709675,0.24285714285714285,0.25757575757575757,391,1035,1219,9745
0.7,0.30701754385964913,0.15217391304347827,0.20348837209302326,245,553,1365,10227
0.75,0.35967302452316074,0.08198757763975155,0.13353566009104703,132,235,1478,10545
0.8,0.3786407766990291,0.02422360248447205,0.04553415061295972,39,64,1571,10716
0.85,0.3548387096774194,0.0068322981366459624,0.01340645947592931,11,20,1599,10760
0.9,0.3333333333333333,0.0018633540372670807,0.0037059913526868438,3,6,1607,10774
